,Unnamed: 0,ID,Title,Artiste,Genre,Sortie,Duree,Note_Moyenne_itunes,#_votes_itunes,#_Shazam_fr,Paroles,MotsFrequents
20,20,383727904,In My Mind,Dynoro & Gigi D’Agostino,Dance,15 nov. 2017,3,4.0,12,8291980,"   And in my mind, in my head This is where we all came from The dreams we have, the love we share This is what we're waiting for  And in my mind, in my head This is where we all came from The dreams we have, the love we share This is what we're waiting for  In my mind, in my head This is where we all came from In my mind, in my head This is where we all came from  In my mind, in my head This is where we all came from The dreams we have, the love we share This is what we're waiting for  In my mind, in my head This is where we all came from In my mind, in my head This is where we all came from  And in my mind, in my head This is where we all came from The dreams we have, the love we share This is what we're waiting for  And in my mind, in my head This is where we all came from The dreams we have, the love we share This is what we're waiting for  In my mind, in my head This is where we all came from In my mind, in my head This is where we all came from  In my mind, in my head This is where we all came from The dreams we have, the love we share This is what we're waiting for  In my mind, in my head This is where we all came from In my mind, in my head This is where we all came from  In my mind, in my head This is where we all came from In my mind, in my head This is where we all came from ",my
21,21,439560547,Falling Down,Lil Peep & XXXTENTACION,Hip-hop/Rap,19 sept. 2018,3,4.6,11,673636,"  [Horse Head:] I think about the times we could have had it all I was in the back then, now I'm in the spotlight Remember last fall? We could have had it all But it's alright (but it's alright) But it's alright I think about the times we could have had it all I was in the back then, now I'm in the spotlight Remember last fall? We could have had it all But it's alright (but it's alright) But it's alright  [Lil Peep:] You got my number yet? Six hundred sixty-six Diamond rings, I'm a devil with some angel wings I know a lot of shit, I don't ever talk shit Lil Peep, big dick, ask my ex bitch I've been through a lot of shit, it got me flexing I've been through a lot of shit, so it got me sexting Got sucked up twice in the same night Call my baby on the west, catch a late flight She just hang tight, I know a lot of girls like you But my world falls down when I fight you Beside you, can I remind you? I wanna die too, I wanna die too  [Horse Head:] I think about the times we could have had it all I was in the back then, now I'm in the spotlight Remember last fall? We could have had it all But it's alright (but it's alright) But it's alright I think about the times we could have had it all I was in the back then, now I'm in the spotlight Remember last fall? We could have had it all But it's alright (but it's alright) But it's alright  [Lil Tracy:] Clinically depressed gang, GothBoiClique Wine in my chalice, take a hundred sips Hundred girls on my dick, but I just want you Vampire bite your neck, blood on my lip French kiss, baby now you're one of us Now you speak my language, they can't understand us I'm hot, coming up like the sunrise But I feel most alive, in the moonlight ",I
22,22,443928333,Le Code,SCH,Hip-hop/Rap,19 oct. 2018,1,4.4,119,115691,"   Pyroman, Pyroman, Pyroman  Viser la lune, un sourire au diable J'ai commis des fautes et j'ai fait face Ã  l'orage Seul dans la vallÃ©e tant qu'va durer l'annÃ©e J'connais l'bruit du charbon, j'connais la vie dure Ã toute allure, mon sac est plein d'thunes On s'allie, on sÃ©vit, c'est pas contre-nature Les fous rires aux larmes, des peines Ã  la joie Mon flingue me rassure mais j'attends qu'se lÃ¨ve le jour  Sur le rivage (ouais ouais ouais), mes potos sont tis-par (ouais ouais ouais) Au son des guitares, guitares, rappelle-toi, hey Sur le rivage (ouais ouais ouais), j'crois qu'en mon Beretta (ouais ouais ouais) On a quittÃ© l'Ã©cole, quittÃ© l'Ã©cole, tout pour le code  Vivre et mourir, du vent sur la dune PortÃ© par le sable, violent donc sanguinolent Pour gagner un terme, ils veulent voler la terre J'ai cognÃ© ma tÃªte, j'me suis rÃ©veillÃ© millionnaire Des millions d'amis, des millions d'ennemis T'as tout fait pour y Ãªtre, on a tout fait pour partir Je connais ma bande, on veut tenir le center C'est tout pour la bande, laissez-moi partir  Sur le rivage (ouais ouais ouais), mes potos sont tis-par (ouais ouais ouais) Au son des guitares, guitares, rappelle-toi, hey Sur le rivage (ouais ouais ouais), j'crois qu'en mon Beretta (ouais ouais ouais) On a quittÃ© l'Ã©cole, quittÃ© l'Ã©cole, tout pour le code  Pire que l'enfer, pire que le pire Sous promÃ©thazine, tout n'est pas plus facile Si la chance va m'sourire, j'veux pas tellement l'savoir J'ai portÃ© mon fardeau, j'ai portÃ© mes soucis Tu sais d'oÃ¹ j'viens, c'est hard, tu n'as qu'Ã  t'nir ma main Les torrents font les avalanches tant qu'mon ego va bien Les bras 'vec les copains, le travail ou les mains sales J'repense aux annÃ©es 2000  Sur le rivage (ouais ouais ouais), mes potos sont tis-par (ouais ouais ouais) Au son des guitares, guitares, rappelle-toi, hey Sur le rivage (ouais ouais ouais), j'crois qu'en mon Beretta (ouais ouais ouais) On a quittÃ© l'Ã©cole, quittÃ© l'Ã©cole, tout pour le code  QuittÃ© l'Ã©cole Tout pour le code Ouais ouais ouais QuittÃ© l'Ã©cole, tout pour le code Tout pour le code Tout pour le code ",le
23,23,405134063,Moonlight,XXXTENTACION,Pop,16 mars 2018,3,4.8,88,955713,"   Yeah  Spotlight, uh, moonlight, uh Nigga, why you trippin'? Get your mood right, uh Shawty look good in the moonlight All these pussy niggas so bad mind Spotlight, moonlight Nigga, why you trippin'? Get your mood right Shawty look good in the moonlight All these pussy niggas so bad mind Spotlight, uh, moonlight Nigga, why you trippin'? Get your mood right, uh Shawty look good in the moonlight All these pussy niggas so bad mind Spotlight, moonlight Nigga, why you trippin'? Get your mood right Shawty look good in the moonlight All these pussy niggas so bad mind  Feel like I'm destined I don't need no Smith & Wesson, no Boy, who you testin'? Fuck a Scantron, here's your lesson, oh Knife in intestine Takin' shots at all your brethren, no Feel like I'm damaged Girl, I know you fucking planned this  All alone, call my phone, make me feel right Girl you know when you call, make me feel right All alone, call my phone, make me feel right Girl you know when you call, make me feel right  Spotlight, uh, moonlight, uh Nigga, why you trippin'? Get your mood right, uh Shawty look good in the moonlight All these pussy niggas so bad mind Spotlight, moonlight Nigga, why you trippin'? Get your mood right Shawty look good in the moonlight All these pussy niggas so bad mind Spotlight, uh, moonlight Nigga, why you trippin'? Get your mood right, uh Shawty look good in the moonlight All these pussy niggas so bad mind Spotlight, moonlight Nigga, why you trippin'? Get your mood right Shawty look good in the moonlight All these pussy niggas so bad mind ",you
24,24,443321905,ZEZE,Kodak Black Feat. Offset & Travis Scott,Hip-hop/Rap,12 oct. 2018,3,-,-,1024094,vide,vide
25,25,431669682,Fine Day,Keanu Silva,Dance,27 juil. 2018,3,-,-,234659,vide,vide
26,26,447492889,Rêves Bizarres,Orelsan Feat. Damso,-,-,-,-,-,40913,vide,vide
27,27,438520189,Dalida,Soolking,Hip-hop/Rap,12 sept. 2018,3,4.5,10,352029,"   On ira lÃ  oÃ¹ la dalle nous mÃ¨ne Notre histoire on l'Ã©crira nous-mÃªme Elle m'a dit : ""c'est pas pour ton beuz Que je t'aime, oui que je t'aime !"" Paroles, que des paroles ! Ma seule patronne Ã  moi c'est ma daronne Ils croyaient que j'Ã©tais mort, ils ont dit ""bon dÃ©barras !"" Heureusement que c'est Dieu qui veut sinon ils nous laisseraient nada Donc, j'ai quittÃ© mon village, rÃªvÃ© d'une vie juste moins minable Moi j'ai quittÃ© mon village, pour ne plus les entendre me dire que :  Personne te donnera de l'aide, de tout faÃ§on t'es dÃ©jÃ  dead Tu passeras ta vie dans la merde, et tes cauchemars remplaceront tes rÃªves Personne te donnera de l'aide, de tout faÃ§on t'es dÃ©jÃ  dead Tu passeras ta vie dans la merde, et tes cauchemars remplaceront tes rÃªves  Paroles, paroles, paroles (paroles) Paroles, paroles, paroles (paroles) Paroles, paroles, paroles (paroles) Paroles, paroles, paroles (paroles)  Hey, hey, hey Na, nanani, nanana Nanani, nanana Ho nanani, nanana Nanani, nanana Nanani, nanana Nanani, nanana Ho nanani, nanana  Ils font semblant de m'aimer (yeah) Moi j'fais pas semblant, j'les dÃ©teste Je me souviens qu'ils me tournaient l'dos parce que j'Ã©tais pauvre comme papa Rajoutent l'argent Ã  ceux qu'en ont et enlÃ¨vent Ã  ceux qui n'en ont pas Dans la mer ils rajoutent de l'eau, va comprendre Et si tu meurs de soif toi, on t'abandonne Si tu veux que ta vie soit bella, maquille-la toi mÃªme On veut le monde, on va le prendre, et puis salam ! Un rÃªveur parmi tant d'autres et mes frÃ¨res sont des millions Nos rÃªves nous vivront, n'Ã©coute pas ceux qui diront que :  Personne te donnera de l'aide, de tout faÃ§on t'es dÃ©jÃ  dead Tu passeras ta vie dans la merde, et tes cauchemars remplaceront tes rÃªves Personne te donnera de l'aide, de tout faÃ§on t'es dÃ©jÃ  dead Tu passeras ta vie dans la merde, et tes cauchemars remplaceront tes rÃªves  Paroles, paroles, paroles (paroles) Paroles, paroles, paroles (paroles) Paroles, paroles, paroles (paroles) Paroles, paroles, paroles (paroles)  Hey, hey, hey Hey, hey, hey Na, nanani, nanana Nanani, nanana Ho nanani, nanana Nanani, nanana Nanani, nanana Nanani, nanana Ho nanani, nanana  J'rentre dans la lÃ©gende, pourquoi Ã§a t'Ã©tonne ? Les jaloux msaken, mashallah la lÃ©gende J'rentre dans la lÃ©gende, pourquoi Ã§a t'Ã©tonne ? Mashallah la lÃ©gende, les jaloux msaken  Hey, hey, hey Na, nanani, nanana Nanani, nanana Ho nanani, nanana Nanani, nanana Nanani, nanana Nanani, nanana Ho nanani, nanana  Paroles, paroles, paroles (paroles) Paroles, paroles, paroles (paroles) Paroles, paroles, paroles (paroles) Paroles, paroles, paroles (paroles) ",nanana
28,28,435799506,Bae,RK,Hip-hop/Rap,21 sept. 2018,5,4.2,60,156721,"   Elle m'rend fou, elle veut qu'j'arrÃªte de cÃ´toyer le re-fou Elle m'rend fou, elle m'rend fou Mais dans ma tÃªte, y a qu'elle que je veux dans l'fond Mais comprends qu'j'ai des projets pro  J'sais plus comment m'y prendre Y a des putes qui m'tournent autour Et j't'avoue, bah des fois j'y pense En face de moi, y a la foule Juste Ã  tÃ©-cÃ´, les dÃ©penses J'suis arrivÃ© Ã  un stade OÃ¹ j'pourrais faire vibrer la France Certains potos m'ont dit: ""fonce"" RelÃ¨ve la tÃªte et avance Le silence sera ma rÃ©ponse Et tu gagneras ma confiance Et parano, j'rÃªve de millions par annÃ©es Pour toi, j'me jette Ã  l'eau, on vit dans un monde parallÃ¨le DÃ©part Ã  l'aube l'impression d'Ãªtre condamnÃ© J'rentre tard, j'rentre que quand la lune se lÃ¨ve J'me dis ""faut qu'j'arrÃªte"", j'deviens tarÃ© pour une malette Le succÃ¨s apparaÃ®t, et j'te parie que j'l'ai pas vu naÃ®tre C'est quoi, les tarifs? On prend tout et on disparaÃ®t RK ceci, RK cela, RK c'qui paraÃ®t Trop chaud  Elle me rÃ©pÃ¨te d'arrrÃªter Tous les soirs, elle m'prend la tÃªte Rends pas fou, on s'voit aprÃ¨s Et j'sais trÃ¨s bien qu'l'amour rend bÃªte [x2]  Treize piges, j'me voyais taper dans un ballon Seize piges, j'me voyais dÃ©ferrÃ© au barreau J'serai jamais bien loin d'mes parents Pour eux, j'donne tout, j'donnerai tout pour qu'tout s'arrange T'es en ligne de mire-euh, tu fais tout pour qu'Ã§a empire-euh On s'Ã©tait promis la Lune, au final plus rien Ã  se dire-euh J'vais m'en tirer, je sais qu'tu vas m'ralentir-euh Laisse-moi partir tout seul, j'bÃ¢tirais l'empire Je zone, j'traÃ®ne, prends pas la tÃªte J'ai des problÃ¨mes, on parle aprÃ¨s J'ai des ennemis derriÃ¨re le dos qui voudront sÃ»rement pas m'rater Eh, l'autre il m'parle d'affaires, laisse-moi solo, j'vais m'balader Eh, j'repars Ã  la guerre et j'vois mon Ã©tat s'dÃ©grader  RelÃ¨ve la tÃªte et avance Le silence sera ma rÃ©ponse Et tu gagneras ma confiance Et parano, j'rÃªve de millions par annÃ©es  Elle me rÃ©pÃ¨te d'arrrÃªter Tous les soirs, elle m'prend la tÃªte Rends pas fou, on s'voit aprÃ¨s Et j'sais trÃ¨s bien qu'l'amour rend bÃªte [x2] ",la
29,29,445954225,Zoum,Soprano Feat. Niska,Hip-hop/Rap,9 nov. 2018,5,3.4,49,94259,"  [Soprano:] AllÃ©lu-allÃ©luia Hermano Sopra' M'baba Hermano Charo est lÃ  Ah, yeah  J'suis toujours restÃ© le mÃªme J'suis toujours restÃ© le mÃªme J'suis toujours restÃ© franc Oui comme ma premiÃ¨re SACEM Vingt-ans au-dessus de la mÃªlÃ©e Je n'sais pas m'arrÃªter Je sais que je devrais en laisser Mais bon je ne sais que les dresser Car j'ai Ã§a dans l'ADN Non je n'sais pas faire autrement Je n'sais pas faire doucement Je les entends me tailler Normal on ne taille que les diamants J'ai dÃ» hÃ©riter de la baraka de mon voisin ZinÃ©dine Ã la baraque y a une dÃ©cennie de trophÃ©es Mais que des retournÃ©s Ã  la Gareth Bale Les baffer, les baffer, leur donner le tournis Quand tombent les tout derniers chiffres De leur carriÃ¨re j'ai pas tournÃ© la page mais j'ai plutÃ´t fermÃ© le livre MÃ©langÃ© les styles et les genres depuis tellement d'annÃ©es Qu'ils n'arrivent plus Ã  suivre Donc obligÃ© ce soir de leur expliquer c'qui leur arrive  Zoum, zoum, zoum Comme Diego dans La Bombonera Comme Savastano dans la Scampia On vient rentrer dans la Leyenda Ha, stay it Zoum, zoum, zoum Comme Diego dans la Bombonera (Diego Maradona) Comme Savastano dans la Scampia (Savastano dans la) On vient rentrer dans la leyenda (Sopra M'Baba, Sopra champion)  [Niska:] J'ai tout pris dans la bijouterie J'ai pas laissÃ© mon ADN (ah ouais, ah ouais) Me demande pas le juste prix Le bail c'est de la frappe, tu payes (Ah ouais, ah ouais) Ãvry c'est mÃ©chant, mÃ©chant, mÃ©chant Comme Marseille ou Chicago Plata O plomo, tous les jours, j'vais pÃ©ter l'magot J'ai toujours un flingue dans le wagon (Bye bye bye) J'suis en feat avec Sopra Toi t'es dans l'lot (la citÃ©, la citÃ©) J'ai encore les flics aux pattes On a dit mon nom (la citÃ©, la citÃ©) Toto Riina, Zepe, Keno (do Brazilia) Foda-se, caralho, hombre, chico (cocaina) Ah... jamais on trahira la onda Pour de l'oseille ou bien des nanas (non, non) Jamais on trahira la onda (bye, bye, bye)  [Soprano:] Zoum, zoum, zoum Comme Diego dans la Bombonera Comme Savastano dans la Scampia On vient rentrer dans la Leyenda Zoum, zoum, zoum Comme Diego dans la Bombonera (Diego Maradona) Comme Savastano dans la Scampia (Savastano dans la) On vient rentrer dans la leyenda (Sopra M'Baba, Sopra champion)  [Soprano & Niska:] Et c'est la zone qui a fait Charo et M'Baba Et c'est la zone qui a fait Charo et M'Baba Et merci la zone (et merci la zone) Et merci la zone (et merci la zone) Et merci la zone (et merci la zone) Et merci la zone (et merci la zone) Et c'est la zone qui a fait Charo et M'Baba Et c'est la zone qui a fait Charo et M'Baba Et merci la zone (et merci la zone) Et merci la zone (et merci la zone) Et merci la zone (et merci la zone) Et merci la zone (et merci la zone) Ah... jamais on trahira la onda (Jamais, jamais, jamais) Pour de l'oseille ou bien des nanas (Jamais, jamais, jamais) Jamais on trahira la onda (bye, bye, bye)  [Soprano:] Zoum, zoum, zoum Comme Diego dans la Bombonera Comme Savastano dans la Scampia On vient rentrer dans la Leyenda Zoum, zoum, zoum Comme Diego dans la Bombonera (Diego Maradona) Comme Savastano dans la Scampia (Savastano dans la) On vient rentrer dans la leyenda (Sopra M'Baba, Sopra champion) ",la
30,30,384245663,La Grenade,Clara Luciani,Variété française,6 déc. 2017,3,-,-,198485,vide,vide
31,31,420162954,Hum,Kaïzer Panda Feat. Kelyan Muller,Dance,6 juil. 2018,3,-,-,166446,vide,vide
32,32,374705210,Mo Bamba,Sheck Wes,-,-,-,-,-,1551285,"   16yrold Bitch Daytrip took it to 10  I got hoes calling a young nigga phone (Ring ring) Where's Ali with the motherfucking dope? (Bitch, bitch) I be ballin' like a mo'fuckin' pro (Like a, huh, like a, huh) I be ballin' like my nigga Mo (Bamba, bitch) Sheck Wes, I ain't a mo'fuckin' joke (Haha, hahahahaha) Steph Wes stay with the fuckin' pole (Pa, pa, pa-pa) You fuck around and get poled (You get poled, bitch) 'Cause I got hoes (So many fucking hoes) Callin' a young nigga phone (Ring-ring, ring, ring-ring, ring, ring-ring) Where's Ali with the (Bitch with the) mo'fuckin' dope? (Huh) I be ballin' like a mo'fuckin' pro (Like a mo'fuckin' pro) I be ballin' like my nigga Mo (Bamba, Bamba) Sheck Wes got so many flows (I do it all) Call me Drake how a nigga contro-  Oh! Fuck! Shit! Bitch! (Huh) Young Sheck Wes and I'm getting really rich (Ching-ching) See how I caught it 'cause I'm really with the shits (Bang-bang) See me in the streets and I be really with a (Cling, cling), with a Bad bitch (Bitch), niggas straight rocking (Rock) Niggas straight see me, when they see me, they be coppin' (What?) I'm the best drug dealer, nigga, come and cop it (Got it) Young Sheck Wes, I'm like the fuckin' Green Goblin (Hahahaha)  I got hoes (Hoes, ho) Calling a young nigga phone, phone (Bitch) Where's Ali with the motherfucking dope? (With the motherfucking dope) Dope (With the motherfucking dope) With the motherfucking dope (Bitch) With the dope (Getting rich), with my bros (Bitch, shit) I fucked your hoe (Shit) And she ain't even let you know (She fucked up)  Damn, this nigga nice, fuck is you talking about? ('Cause I got) bitch (Hoes) And my nigga One-Six, my nigga Ali, the Daytrip nigga, fuck is niggas talking about? (I got hoes, shit Young Sheck Wes, I do it on the go) ",the
33,33,439216406,1000°c,Lomepal Feat. Roméo Elvis,Hip-hop/Rap,17 sept. 2018,3,4.8,6,137016,vide,vide
34,34,436563638,Like I Love You,Lost Frequencies Feat. The NGHBRS,Électronique,14 sept. 2018,3,-,-,508035,vide,vide
35,35,417333490,Girls Like You,Maroon 5 Feat. Cardi B,Pop,3 nov. 2017,1,3.8,11,6827686,vide,vide
36,36,446463680,Sale Mood,Booba & Bramsito,Hip-hop/Rap,2 nov. 2018,3,4.2,19,50035,vide,vide
37,37,367497694,Le Temps Est Bon,Bon Entendeur,Variété française,27 juil. 2018,3,-,-,149912,"   Like the shadow in the night  T'as vu comment ces mecs ler-par, si Ã§a s'tape personne sÃ©pare Et si le sang s'Ã©parpille, ce sera le retour Ã  la case dÃ©part Parce qu'eux aussi ces mecs poucavent, obligÃ© d'plaider coupable Wesh Ã  qui tu nous compares ? Purple Money c'est d'lÃ  qu'tout part Poto, j'ai pas Ã©tÃ© biberonnÃ©, j'ai tÃ©tÃ© l'bezoul La daronne a charbonnÃ©, il n'y a qu'elle qui peut me sermonner MÃªme elle m'a dit d'faire d'la monnaie sinon les femmes t'Ã©crasent Ã  terre Faut vite devenir un gros bonnet, un gros mafieux Ã  la Sepp Blatter EnlÃ¨ve ton string pendant que j'baise la Terre pendant que j'dÃ©blatÃ¨re Reparle sur moi et j'te baise ta mÃ¨re, au moindre faux pas c'est la guerre Autour de moi il y a beaucoup d'tes-traÃ® Fais pas crari c'est plus un secret mais hamdoulah, j'ai mes res-frÃ¨ J'aimerais vous dire que je suis triste mais l'oseille me console J'me gratte les couilles, j'vous regarde, j'me marre et je joue Ã  la console J'rappe, j'consomme, j'paie les impÃ´ts, tu grattes ta go franchement chapeau Tester Lartiste c'est pas du gÃ¢teau, j'suis Versace, t'es Petit Bateau J'ai un scoop pour toi c'est officiel, j'suis l'boss de lâauto-tune Tant qu'il y a des sous tu vas te faire enculer, j'vais pas changer de logiciel On m'a dit c'Ã©tait trop commercial Mais connais-tu quelqu'un autour de toi qui refuserait un paquet d'oseille? C'est la crise ma gueule Aujourd'hui dans nos citÃ©s y a des petits rebeus, renois qui dansent comme George Michael donc tu fermes ta gueule Sous le pavÃ© le soleil et sur le pavÃ© le sang Chez moi on tue pour l'oseille comme si on tuait le temps Non, il n'y a rien de bien mÃ©chant, mÃ©fie-toi des offres allÃ©chantes De ce que la go a entre les jambes, des mythos et des autres lÃ©gendes Bienvenue en France, Paris, le luxe, chez nous Cendrillon fait des films de uc Sans forcer elle brise des nuques, alcool corsÃ©, elle cherche un truc Dites Ã  Pablo d'enlever sa perruque, j'traine avec Rolls et la Perruche Toujours ready qui l'aurait cru, toujours 3adi je traÃ®ne dans la rue Nigga, des fois je rappe devant des res-sta ou des mecs qui croient l'Ãªtre J'viens du nord je te transmets l'message, yo, nique ta mÃ¨re en trois lettres MÃªme si ton zinc du bled est relou, envoie quand mÃªme le Western Union Ce sera toujours moins relou que d'emmener une pute Ã  la RÃ©union MÃªme si elle est super bonne, qu'elle fait des trucs de cochonnes MÃªme si elle elle est mignonne, c'est pas avec moi qu'tu feras le bonhomme Remballe tes couilles, sois Ã©conome, on va t'briser la colonne Transporter ton corps parfumÃ© Ã  l'eau de Cologne On a les mÃªmes elles viennent de Pologne, mafieux comme Ã  Bologne On a les mÃªmes elles viennent de Pologne MÃªme pas alcoolisÃ©, j'suis mÃªme pas alcoolisÃ© J'suis en marche arriÃ¨re sur la route du hram, Avenue des Champs-ÃlysÃ©es Elle veut un mec sponsorisÃ©, Lanvin, Zanotti Tu vends coke, tu vends shit, pour des Givenchy Moi je m'en bats les couilles de tout Ã§a, j'suis pas un gratteur de boussa Insh'Allah j'me barre aux Comores rejoindre le pÃ¨re de Moussa J'ferais mes priÃ¨res Ã  l'heure et des dou'a pour ceux qui son tis-par Moi j'ai commencÃ© ma carriÃ¨re en brÃ»lant ma guitare Souvent on s'perd on s'oublie, t'as vu des fois j'suis troublÃ© Tout le monde veut te doubler sÃ»rement parce qui'il y a trop d'blÃ© C'est Lartiste Purple Money, 9-3 Bondy Norte TâinquiÃ¨te j'en ai plus pour longtemps si Ã§a peut t'rÃ©conforter Oh, j'ai dÃ©ja trop de soucis Ã  porter J'espÃ¨re que les anges vont nous escorter ",des
38,38,427958367,Moonlight,Gaullin,Pop,7 sept. 2018,2,-,-,946249,vide,vide
39,39,407592725,Lucid Dreams,Juice WRLD,Hip-hop/Rap,23 mai 2018,4,4.5,6,4790584,"   No, no, ...no  I still see your shadows in my room Can't take back the love that I gave you It's to the point where I love and I hate you And I cannot change you so I must replace you (oh) Easier said than done I thought you were the one Listening to my heart instead of my head You found another one, but I am the better one I won't let you forget me I still see your shadows in my room Can't take back the love that I gave you It's to the point where I love and I hate you And I cannot change you so I must replace you (oh) Easier said than done I thought you were the one Listening to my heart instead of my head You found another one, but I am the better one I won't let you forget me  You left me falling and landing inside my grave I know that you want me dead (cough) I take prescriptions to make me feel a-okay I know it's all in my head  I have these lucid dreams where I can't move a thing Thinking of you in my bed You were my everything Thoughts of a wedding ring Now I'm just better off dead (coughs) I'll do it over again I didn't want it to end I watch it blow in the wind I should've listened to my friends Did this shit in the past But I want it to last You were made outta plastic (fake) I was tangled up in your drastic ways Who knew evil girls have the prettiest face You gave me a heart that was full of mistakes I gave you my heart and you made heart break  You made my heart break You made my heart ache (I still see your shadows in my room) You made my heart break You made my heart ache (can't take back the love that I gave you) You made my heart break (were made outta plastic fake) You made my heart ache (I still see your shadows in my room) You made my heart break again (I was tangled up your drastic ways) (Who knew evil girls have the prettiest face?)  I still see your shadows in my room Can't take back the love that I gave you It's to the point where I love and I hate you And I cannot change you so I must replace you (oh) Easier said than done I thought you were the one Listening to my heart instead of my head You found another one, but I am the better one I won't let you forget me I still see your shadows in my room Can't take back the love that I gave you It's to the point where I love and I hate you And I cannot change you so I must replace you (oh) Easier said than done I thought you were the one Listening to my heart instead of my head You found another one, but I am the better one I won't let you forget me  Did this shit in the past but I want it to last You were made outta plastic (fake) I was tangled up in your drastic ways Who knew evil girls have the prettiest face?  Easier said than done I thought you were the one (Instead of my head) I won't let you forget me ",I
40,40,435160184,Happier,Marshmello & Bastille,Dance,17 août 2018,3,-,-,2813814,"   Lately, I've been, I've been thinking I want you to be happier, I want you to be happier  When the morning comes When we see what we've become In the cold light of day we're a flame in the wind Not the fire that we've begun Every argument, every word we can't take back 'Cause with all that has happened I think that we both know the way that the story ends  Then only for a minute I want to change my mind 'Cause this just don't feel right to me I want to raise your spirits I want to see you smile but Know that means I'll have to leave  Know that means I'll have to leave Lately, I've been, I've been thinking I want you to be happier, I want you to be happier  When the evening falls And I'm left there with my thoughts And the image of you being with someone else Well, it's eating me up inside But we ran our course, we pretended we're okay Now if we jump together at least we can swim Far away from the wreck we made  Then only for a minute I want to change my mind 'Cause this just don't feel right to me I want to raise your spirits I want to see you smile but Know that means I'll have to leave  Know that means I'll have to leave Lately, I've been, I've been thinking I want you to be happier, I want you to be happier  So I'll go, I'll go I will go, go, go So I'll go, I'll go I will go, go, go  Lately, I've been, I've been thinking I want you to be happier, I want you to be happier Even though I might not like this I think that you'll be happier, I want you to be happier  Then only for a minute I want to change my mind 'Cause this just don't feel right to me I want to raise your spirits I want to see you smile but Know that means I'll have to leave  Know that means I'll have to leave Lately, I've been, I've been thinking I want you to be happier, I want you to be happier  So I'll go, I'll go I will go, go, go ",to
41,41,417547217,Get Up (French Edit),Diva Faune Feat. Léa Paci,Pop,25 mai 2018,3,5.0,7,526689,vide,vide
42,42,414883687,Trampoline,SHAED,Pop,21 sept. 2018,1,-,-,338958,   I've been havin dreams Jumpin on a trampoline Flippin in the air I never land just float there As I'm looking up Suddenly the sky erupts Flames alight the trees Spread to fallin leaves Now they're right upon me  Wait if I'm on fire How am I so deep in love? When I dream of dying I never feel so loved  I've been having dreams Splashin in a summer stream Trip and I fall in I wanted it to happen My body turns to ice Crushin weight of paradise Solid block of gold Lying in the cold I feel right at home  Wait if I'm on fire How am I so deep in love? When I dream of dying I never feel so loved ,I
43,43,429946780,Eastside,"Benny Blanco, Halsey & Khalid",Pop,13 juil. 2018,2,-,-,3347987,"  [Khalid:] Uh Yeah, yeah  When I was young, I fell in love We used to hold hands, man, that was enough (yeah) Then we grew up, started to touch Used to kiss underneath the light on the back of the bus (yeah) Oh no, your daddy didn't like me much And he didn't believe me when I said you were the one Oh, every day she found a way out of the window to sneak out late  She used to meet me on the Eastside In the city where the sun don't set And every day you know that we ride Through the backstreets of a blue Corvette Baby, you know I just wanna leave tonight We can go anywhere we want Drive down to the coast, jump in the sea Just take my hand and come with me  We can do anything if we put our minds to it Take your whole life then you put a line through it My love is yours if you're willing to take it Give me your heart 'cause I ain't gonna break it So come away, starting today Start a new life, together in a different place We know that love is how all these ideas came to be So baby, run away with me  [Halsey:] Seventeen and we got a dream to have a family A house and everything in between And then, oh, suddenly we turned twenty-three Now we got pressure for taking our life more seriously We got our dead-end jobs and got bills to pay Have old friends and know our enemies Now IâI'm thinking back to when I was young Back to the day when I was falling in love  He used to meet me on the Eastside In the city where the sun don't set And every day you know where we ride Through the backstreets in a blue Corvette And baby, you know I just wanna leave tonight We can go anywhere we want Drive down to the coast, jump in the sea Just take my hand and come with me Singing  [Halsey & Khalid:] We can do anything if we put our minds to it Take your whole life then you put a line through it My love is yours if you're willing to take it Give me your heart 'cause I ain't gonna break it So come away, starting today Start a new life, together in a different place We know that love is how all these ideas came to be So baby, run away with me  Run away, now Run away, now Run away, now Run away, now Run away, now Run away, now  He used to meet me on the Eastside She used to meet me on the Eastside He used to meet me on the Eastside She used to meet me on the Eastside In the city where the sun don't set ",the
